,Tiempo,Tensión
213,-0.004148,1.0
214,-0.004144,1.0
215,-0.0041400000000000005,1.0
216,-0.004136,1.02
217,-0.004132,1.02
218,-0.004128,1.02
219,-0.004124,1.0
220,-0.00412,1.0
221,-0.004116,1.0
222,-0.004112,1.0
223,-0.0041080000000000005,0.98
224,-0.004104,1.0
225,-0.0041,1.02
226,-0.004096,1.0
227,-0.004092,1.0
228,-0.0040880000000000005,0.98
229,-0.004084,0.98
230,-0.00408,1.0
231,-0.004076,1.0
232,-0.004072,1.0
233,-0.0040680000000000004,0.98
234,-0.004064,0.98
235,-0.00406,0.98
236,-0.004056000000000001,0.98
237,-0.004052,0.98
238,-0.004048,0.96
239,-0.004044,0.98
240,-0.00404,0.98
241,-0.0040360000000000005,0.96
242,-0.004032,0.98
243,-0.004028,0.98
244,-0.004024,1.0
245,-0.00402,0.96
246,-0.0040160000000000005,0.98
247,-0.004012,0.96
248,-0.004008,0.96
249,-0.004004000000000001,0.96
250,-0.004,0.96
251,-0.003996,0.96
252,-0.003992,0.96
253,-0.003988,0.96
254,-0.003984,0.96
255,-0.00398,0.9400000000000001
256,-0.003976,0.9400000000000001
257,-0.003972,0.9400000000000001
258,-0.003968,0.96
259,-0.0039640000000000005,0.96
260,-0.00396,0.9400000000000001
261,-0.003956,0.9400000000000001
262,-0.003952000000000001,0.9400000000000001
263,-0.003948,0.9400000000000001
264,-0.0039440000000000005,0.9400000000000001
265,-0.00394,0.9400000000000001
266,-0.003936,0.9400000000000001
267,-0.003932,0.92
268,-0.003928,0.9400000000000001
269,-0.003924,0.9400000000000001
270,-0.00392,0.92
271,-0.003916,0.9400000000000001
272,-0.0039120000000000005,0.92
273,-0.003908,0.92
274,-0.0039040000000000004,0.92
275,-0.0039000000000000003,0.92
276,-0.003896,0.92
277,-0.003892,0.92
278,-0.003888,0.9
279,-0.0038840000000000003,0.92
280,-0.00388,0.9
281,-0.003876,0.92
282,-0.0038720000000000004,0.9
283,-0.003868,0.92
284,-0.0038640000000000002,0.88
285,-0.00386,0.9
286,-0.003856,0.9
287,-0.0038520000000000004,0.88
288,-0.003848,0.88
289,-0.003844,0.88
290,-0.00384,0.88
291,-0.003836,0.88
292,-0.0038320000000000003,0.88
293,-0.0038280000000000002,0.88
294,-0.003824,0.88
295,-0.0038200000000000005,0.88
296,-0.003816,0.88
297,-0.0038120000000000003,0.86
298,-0.003808,0.88
299,-0.003804,0.88
300,-0.0038000000000000004,0.86
301,-0.003796,0.86
302,-0.0037920000000000002,0.86
303,-0.003788,0.86
304,-0.003784,0.86
305,-0.0037800000000000004,0.86
306,-0.003776,0.86
307,-0.003772,0.84
308,-0.003768,0.84
309,-0.003764,0.84
310,-0.0037600000000000003,0.8200000000000001
311,-0.0037560000000000002,0.8200000000000001
312,-0.003752,0.84
313,-0.0037480000000000005,0.84
314,-0.003744,0.84
315,-0.0037400000000000003,0.8200000000000001
316,-0.003736,0.84
317,-0.003732,0.8200000000000001
318,-0.0037280000000000004,0.8200000000000001
319,-0.003724,0.8
320,-0.00372,0.8
321,-0.003716,0.8
322,-0.003712,0.8
323,-0.0037080000000000004,0.8
324,-0.0037040000000000003,0.8
325,-0.0037,0.78
326,-0.003696,0.8
327,-0.003692,0.78
328,-0.0036880000000000003,0.78
329,-0.003684,0.8
330,-0.00368,0.8
331,-0.0036760000000000004,0.78
332,-0.003672,0.78
333,-0.0036680000000000003,0.76
334,-0.003664,0.76
335,-0.00366,0.74
336,-0.0036560000000000004,0.76
337,-0.003652,0.76
338,-0.003648,0.76
339,-0.003644,0.76
340,-0.00364,0.74
341,-0.0036360000000000003,0.74
342,-0.0036320000000000002,0.74
343,-0.003628,0.74
344,-0.0036240000000000005,0.74
345,-0.00362,0.74
346,-0.0036160000000000003,0.72
347,-0.003612,0.72
348,-0.003608,0.74
349,-0.0036040000000000004,0.72
350,-0.0036,0.7000000000000001
351,-0.0035960000000000002,0.72
352,-0.003592,0.7000000000000001
353,-0.003588,0.72
354,-0.0035840000000000004,0.72
355,-0.00358,0.72
356,-0.003576,0.7000000000000001
357,-0.003572,0.7000000000000001
358,-0.003568,0.68
359,-0.0035640000000000003,0.66
360,-0.0035600000000000002,0.66
361,-0.003556,0.66
362,-0.0035520000000000005,0.66
363,-0.003548,0.66
364,-0.0035440000000000003,0.66
365,-0.00354,0.66
366,-0.003536,0.66
367,-0.0035320000000000004,0.66
368,-0.003528,0.66
369,-0.0035240000000000002,0.64
370,-0.00352,0.66
371,-0.003516,0.64
372,-0.0035120000000000004,0.64
373,-0.0035080000000000003,0.64
374,-0.003504,0.62
375,-0.0035,0.62
376,-0.003496,0.62
377,-0.0034920000000000003,0.6
378,-0.003488,0.62
379,-0.003484,0.6
380,-0.0034800000000000005,0.6
381,-0.003476,0.6
382,-0.0034720000000000003,0.58
383,-0.003468,0.58
384,-0.003464,0.58
385,-0.0034600000000000004,0.58
386,-0.003456,0.58
387,-0.003452,0.54
388,-0.003448,0.56
389,-0.003444,0.58
390,-0.0034400000000000003,0.58
391,-0.0034360000000000003,0.56
392,-0.003432,0.56
393,-0.0034280000000000005,0.54
394,-0.003424,0.54
395,-0.0034200000000000003,0.54
396,-0.003416,0.54
397,-0.003412,0.52
398,-0.0034080000000000004,0.52
399,-0.003404,0.52
400,-0.0034000000000000002,0.5
401,-0.003396,0.5
402,-0.003392,0.52
403,-0.0033880000000000004,0.5
404,-0.003384,0.5
405,-0.00338,0.5
406,-0.003376,0.5
407,-0.003372,0.5
408,-0.0033680000000000003,0.48
409,-0.0033640000000000002,0.48
410,-0.00336,0.46
411,-0.0033560000000000005,0.46
412,-0.003352,0.46
413,-0.0033480000000000003,0.46
414,-0.003344,0.46
415,-0.00334,0.44
416,-0.0033360000000000004,0.44
417,-0.003332,0.44
418,-0.0033280000000000002,0.44
419,-0.003324,0.44
420,-0.00332,0.44
421,-0.0033160000000000004,0.42
422,-0.0033120000000000003,0.42
423,-0.003308,0.42
424,-0.003304,0.42
425,-0.0033,0.4
426,-0.0032960000000000003,0.4
427,-0.0032920000000000002,0.4
428,-0.003288,0.4
429,-0.0032840000000000005,0.38
430,-0.00328,0.38
431,-0.0032760000000000003,0.38
432,-0.003272,0.38
433,-0.003268,0.36
434,-0.0032640000000000004,0.36
435,-0.00326,0.36
436,-0.003256,0.36
437,-0.003252,0.36
438,-0.003248,0.34
439,-0.0032440000000000004,0.36
440,-0.0032400000000000003,0.34
441,-0.003236,0.34
442,-0.0032320000000000005,0.34
443,-0.003228,0.34
444,-0.0032240000000000003,0.34
445,-0.00322,0.32
446,-0.003216,0.32
447,-0.0032120000000000004,0.34
448,-0.003208,0.3
449,-0.0032040000000000003,0.28
450,-0.0032,0.3
451,-0.003196,0.3
452,-0.0031920000000000004,0.3
453,-0.003188,0.28
454,-0.003184,0.26
455,-0.00318,0.28
456,-0.003176,0.26
457,-0.0031720000000000003,0.26
458,-0.0031680000000000002,0.26
459,-0.003164,0.26
460,-0.0031600000000000005,0.24
461,-0.003156,0.24
462,-0.0031520000000000003,0.26
463,-0.003148,0.24
464,-0.003144,0.24
465,-0.0031400000000000004,0.2
466,-0.003136,0.24
467,-0.0031320000000000002,0.22
468,-0.003128,0.22
469,-0.003124,0.2
470,-0.0031200000000000004,0.18
471,-0.0031160000000000003,0.18
472,-0.003112,0.18
473,-0.003108,0.18
474,-0.003104,0.18
475,-0.0031000000000000003,0.18
476,-0.0030960000000000002,0.18
477,-0.003092,0.18
478,-0.0030880000000000005,0.16
479,-0.003084,0.16
480,-0.0030800000000000003,0.16
481,-0.003076,0.16
482,-0.003072,0.16
483,-0.0030680000000000004,0.14
484,-0.003064,0.14
485,-0.0030600000000000002,0.12
486,-0.003056,0.14
487,-0.003052,0.14
488,-0.0030480000000000004,0.12
489,-0.0030440000000000003,0.1
490,-0.00304,0.1
491,-0.003036,0.1
492,-0.0030320000000000004,0.1
493,-0.0030280000000000003,0.1
494,-0.003024,0.08
495,-0.00302,0.08
496,-0.003016,0.08
497,-0.0030120000000000004,0.06
498,-0.0030080000000000003,0.06
499,-0.003004,0.06
500,-0.003,0.04
501,-0.0029960000000000004,0.04
502,-0.0029920000000000003,0.06
503,-0.002988,0.04
504,-0.002984,0.04
505,-0.00298,0.04
506,-0.0029760000000000003,0.02
507,-0.0029720000000000002,0.02
508,-0.002968,0.02
509,-0.002964,0.0
510,-0.0029600000000000004,0.0
511,-0.0029560000000000003,0.0
512,-0.002952,0.0
513,-0.002948,0.0
514,-0.002944,-0.02
515,-0.0029400000000000003,-0.02
516,-0.0029360000000000002,-0.02
517,-0.002932,-0.02
518,-0.002928,-0.04
519,-0.0029240000000000004,-0.06
520,-0.0029200000000000003,-0.04
521,-0.002916,-0.06
522,-0.002912,-0.08
523,-0.002908,-0.06
524,-0.0029040000000000003,-0.06
525,-0.0029000000000000002,-0.08
526,-0.002896,-0.08
527,-0.002892,-0.08
528,-0.0028880000000000004,-0.1
529,-0.0028840000000000003,-0.1
530,-0.00288,-0.08
531,-0.002876,-0.1
532,-0.002872,-0.1
533,-0.0028680000000000003,-0.12
534,-0.0028640000000000002,-0.1
535,-0.00286,-0.12
536,-0.002856,-0.12
537,-0.0028520000000000004,-0.12
538,-0.0028480000000000003,-0.12
539,-0.002844,-0.14
540,-0.00284,-0.16
541,-0.0028360000000000004,-0.14
542,-0.0028320000000000003,-0.14
543,-0.0028280000000000002,-0.16
544,-0.002824,-0.16
545,-0.00282,-0.16
546,-0.0028160000000000004,-0.16
547,-0.0028120000000000003,-0.18
548,-0.002808,-0.18
549,-0.002804,-0.2
550,-0.0028000000000000004,-0.2
551,-0.0027960000000000003,-0.2
552,-0.002792,-0.2
553,-0.002788,-0.2
554,-0.002784,-0.22
555,-0.0027800000000000004,-0.2
556,-0.0027760000000000003,-0.22
557,-0.002772,-0.22
558,-0.002768,-0.24
559,-0.0027640000000000004,-0.24
560,-0.0027600000000000003,-0.26
561,-0.002756,-0.24
562,-0.002752,-0.26
563,-0.002748,-0.24
564,-0.0027440000000000003,-0.26
565,-0.0027400000000000002,-0.26
566,-0.002736,-0.26
567,-0.002732,-0.28
568,-0.0027280000000000004,-0.28
569,-0.0027240000000000003,-0.28
570,-0.00272,-0.28
571,-0.002716,-0.3
572,-0.002712,-0.3
573,-0.0027080000000000003,-0.3
574,-0.0027040000000000002,-0.3
575,-0.0027,-0.32
576,-0.002696,-0.3
577,-0.0026920000000000004,-0.32
578,-0.0026880000000000003,-0.3
579,-0.002684,-0.34
580,-0.00268,-0.34
581,-0.002676,-0.34
582,-0.0026720000000000003,-0.36
583,-0.0026680000000000002,-0.36
584,-0.002664,-0.36
585,-0.00266,-0.36
586,-0.0026560000000000004,-0.36
587,-0.0026520000000000003,-0.36
588,-0.002648,-0.38
589,-0.002644,-0.38
590,-0.0026400000000000004,-0.38
591,-0.0026360000000000003,-0.38
592,-0.0026320000000000002,-0.4
593,-0.002628,-0.38
594,-0.002624,-0.42
595,-0.0026200000000000004,-0.4
596,-0.0026160000000000003,-0.42
597,-0.002612,-0.4
598,-0.002608,-0.42
599,-0.0026040000000000004,-0.42
600,-0.0026000000000000003,-0.44
601,-0.0025960000000000002,-0.44
602,-0.002592,-0.44
603,-0.002588,-0.44
604,-0.0025840000000000004,-0.44
605,-0.0025800000000000003,-0.44
606,-0.002576,-0.46
607,-0.002572,-0.46
608,-0.0025680000000000004,-0.46
609,-0.0025640000000000003,-0.48
610,-0.00256,-0.48
611,-0.002556,-0.48
612,-0.002552,-0.48
613,-0.0025480000000000004,-0.5
614,-0.0025440000000000003,-0.5
615,-0.00254,-0.5
616,-0.002536,-0.5
617,-0.0025320000000000004,-0.5
618,-0.0025280000000000003,-0.52
619,-0.002524,-0.52
620,-0.00252,-0.52
621,-0.002516,-0.52
622,-0.0025120000000000003,-0.52
623,-0.0025080000000000002,-0.52
624,-0.002504,-0.52
625,-0.0025,-0.54
626,-0.0024960000000000004,-0.54
627,-0.0024920000000000003,-0.54
628,-0.002488,-0.54
629,-0.002484,-0.56
630,-0.0024800000000000004,-0.54
631,-0.0024760000000000003,-0.56
632,-0.0024720000000000002,-0.54
633,-0.002468,-0.56
634,-0.002464,-0.56
635,-0.0024600000000000004,-0.58
636,-0.0024560000000000003,-0.6
637,-0.002452,-0.58
638,-0.002448,-0.58
639,-0.0024440000000000004,-0.58
640,-0.0024400000000000003,-0.6
641,-0.0024360000000000002,-0.6
642,-0.002432,-0.6
643,-0.002428,-0.62
644,-0.0024240000000000004,-0.62
645,-0.0024200000000000003,-0.62
646,-0.002416,-0.62
647,-0.002412,-0.62
648,-0.0024080000000000004,-0.64
649,-0.0024040000000000003,-0.64
650,-0.0024000000000000002,-0.62
651,-0.002396,-0.66
652,-0.002392,-0.64
653,-0.0023880000000000004,-0.66
654,-0.0023840000000000003,-0.66
655,-0.00238,-0.66
656,-0.002376,-0.66
657,-0.0023720000000000004,-0.66
658,-0.0023680000000000003,-0.66
659,-0.002364,-0.68
660,-0.00236,-0.66
661,-0.002356,-0.68
662,-0.0023520000000000004,-0.68
663,-0.0023480000000000003,-0.68
664,-0.002344,-0.7000000000000001
665,-0.00234,-0.7000000000000001
666,-0.0023360000000000004,-0.7000000000000001
667,-0.0023320000000000003,-0.7000000000000001
668,-0.002328,-0.72
669,-0.002324,-0.72
